id,ship_name,voyage_id,date,effy_share,revenue_ss,revenue_cc,eu_revenue,carnival_share,office_supplies,discount_share,exec_folio,cc_fee_ss,cc_fee_direct,meal_charge,parole_fee,cash_advance,cash_paid_onboard
569,GLORY,GL20220424007,4/24/22,"$41,883.44 ","$40,395.50 ","$30,114.00 ",,"($26,793.61)",,,($118.08),($481.08),($656.49),($576.80),,,
570,GLORY,GL20220501007,5/1/22,"$39,424.17 ","$45,021.00 ","$21,523.00 ",,"($25,286.72)",,,($205.20),($581.91),($469.20),($576.80),,,
571,GLORY,GL20220508007,5/8/22,"$61,756.85 ","$57,069.00 ","$46,882.00 ",,"($39,501.38)",,,($270.97),($822.97),"($1,022.03)",($576.80),,,
572,GLORY,GL20220515007,5/15/22,"$65,781.06 ","$36,279.00 ","$74,455.00 ",,"($42,078.92)",,,($206.29),($467.81),"($1,623.12)",($576.80),,,
573,GLORY,GL20220522007,5/22/22,"$59,359.90 ","$44,567.00 ","$55,217.00 ",,"($37,917.92)",,,($167.29),($558.36),"($1,203.73)",($576.80),,,
574,GLORY,GL20220529007,5/29/22,"$34,000.22 ","$31,815.00 ","$25,619.00 ",,"($21,824.92)",,,($237.97),($379.80),($558.49),($432.60),,,
575,GLORY,GL20220605007,6/5/22,"$43,254.78 ","$37,546.00 ","$35,300.00 ",,"($27,681.48)",,,($114.61),($448.79),($769.54),($576.80),,,
576,GLORY,GL20220612007,6/12/22,"$57,566.96 ","$63,103.00 ","$33,248.00 ",,"($36,613.38)",,,($126.65),($886.60),($724.81),($432.60),,,
577,GLORY,GL20220619007,6/19/22,"$37,455.38 ","$33,609.00 ","$29,740.00 ",,"($24,072.62)",,,($145.42),($450.45),($648.33),($576.80),,,
578,GLORY,GL20220626007,6/26/22,"$34,321.60 ","$36,065.00 ","$22,035.00 ",,"($22,078.00)",,,($199.81),($443.43),($480.36),($576.80),,,
579,GLORY,GL20220703007,7/3/22,"$37,304.57 ","$45,187.00 ","$17,748.00 ",,"($23,915.30)",,,($134.64),($575.58),($386.91),($618.00),,,
580,GLORY,GL20220710007,7/10/22,"$47,752.68 ","$67,746.00 ","$12,776.00 ",,"($30,598.36)",,,($129.60),($897.64),($278.52),($865.20),,,
581,GLORY,GL20220717007,7/17/22,"$37,036.58 ","$50,514.00 ","$11,988.00 ",,"($23,750.76)",,,($181.44),($695.08),($261.34),($576.80),,,
582,GLORY,GL20220724007,7/24/22,"$26,367.29 ","$29,548.00 ","$15,251.00 ",,"($17,023.62)",,,($130.56),($368.26),($332.47),($576.80),,,
583,GLORY,GL20220731007,7/31/22,"$74,102.78 ","$70,226.00 ","$54,329.00 ",,"($47,330.90)",,,($335.67),($880.28),"($1,184.37)",($721.00),,,
584,GLORY,GL20220807007,8/7/22,"$44,563.75 ","$24,542.00 ","$51,022.00 ",,"($28,714.32)",,,($284.78),($312.07),"($1,112.28)",($576.80),,,
585,GLORY,GL20220814007,8/14/22,"$55,122.25 ","$56,575.00 ","$36,209.50 ",,"($35,258.11)",,,($280.46),($757.51),($789.37),($576.80),,,
586,GLORY,GL20220821007,8/21/22,"$41,724.25 ","$42,947.00 ","$27,713.00 ",,"($26,850.80)",,,($254.54),($649.47),($604.14),($576.80),,,
587,GLORY,GL20220828007,8/28/22,"$45,149.80 ","$52,937.00 ","$23,259.00 ",,"($28,954.48)",,,($287.18),($720.69),($507.05),($576.80),,,
588,GLORY,GL20220904007,9/4/22,"$27,644.47 ","$17,868.00 ","$29,403.00 ",,"($17,962.98)",,,($202.70),($243.06),($640.99),($576.80),,,
